EVENT_ID,EPISODE_ID,EVENT_STATE,EVENT_COUNTY,EVENT_TYPE,EVENT_YEAR,EVENT_FIPS,COUNTY_FIPS,COUNTY_NAME,COUNTY_STATE,DISTANCE_KM,CZ_TYPE,VOTING_YEAR,reg_voters,ballots_cast,cvap,reg_voters_pct,voter_turnout_pct,reg_voter_turnout_pct,pres_dem_votes,pres_rep_votes,sen_dem_votes,sen_rep_votes,pres_dem_ratio,pres_rep_ratio,sen_dem_ratio,sen_rep_ratio,partisan_index_dem,partisan_index_rep
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08049,Grand County County,CO,72.5685436290966,Z,2008,11151.0,8413.0,11340.0,0.98,0.7418872,0.7544615,4037.0,4128.0,,,0.4944274,0.5055726,,,0.476392,0.523608
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08049,Grand County County,CO,72.5685436290966,Z,2010,11711.0,6750.0,11340.0,0.98,0.5952381,0.5763812,,,,,,,,,0.476392,0.523608
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08049,Grand County County,CO,72.5685436290966,Z,2012,12114.0,8273.0,11340.0,0.98,0.7295414,0.6829289,3684.0,4253.0,,,0.4641552,0.5358448,,,0.479291,0.520709
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08049,Grand County County,CO,72.5685436290966,Z,2014,11579.0,6981.0,11575.0,0.98,0.6031101,0.6029018,,,2795.0,3638.0,,,0.4344785,0.5655215,0.464354,0.535646
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08049,Grand County County,CO,72.5685436290966,Z,2016,11730.0,8924.0,11575.0,0.98,0.7709719,0.7607843,3358.0,4494.0,3623.0,4402.0,0.4276617,0.5723383,0.4514642,0.5485358,0.446066,0.553934
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08049,Grand County County,CO,72.5685436290966,Z,2018,12189.0,7964.0,11575.0,0.98,0.6880345,0.653376,,,,,,,,,0.446066,0.553934
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08037,Eagle County County,CO,97.48310939441448,Z,2004,28384.0,18644.0,28712.0,0.98,0.6493452,0.6568489,9744.0,8533.0,10110.0,7636.0,0.5331291,0.4668709,0.5697058,0.4302942,,
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08037,Eagle County County,CO,97.48310939441448,Z,2006,28235.0,13283.0,29783.0,0.948024,0.4459927,0.4704445,,,,,,,,,0.518659,0.481341
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08037,Eagle County County,CO,97.48310939441448,Z,2008,29915.0,21786.0,31925.0,0.9370399,0.6824119,0.7282634,13187.0,8179.0,,,0.6171955,0.3828045,,,0.584306,0.415693
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08037,Eagle County County,CO,97.48310939441448,Z,2010,29965.0,14953.0,31925.0,0.9386061,0.468379,0.4990155,,,,,,,,,0.584306,0.415693
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08037,Eagle County County,CO,97.48310939441448,Z,2012,33506.0,22855.0,31925.0,0.98,0.7158966,0.6821166,12792.0,9411.0,,,0.5761384,0.4238617,,,0.596667,0.403333
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08037,Eagle County County,CO,97.48310939441448,Z,2014,33136.0,17774.0,34725.0,0.9542404,0.5118502,0.5363955,,,9438.0,7102.0,,,0.5706167,0.4293833,0.587984,0.412016
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08037,Eagle County County,CO,97.48310939441448,Z,2016,34928.0,26091.0,34725.0,0.98,0.7513607,0.7469938,14099.0,8990.0,13707.0,8772.0,0.6106371,0.3893629,0.6097691,0.3902309,0.585653,0.414347
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08037,Eagle County County,CO,97.48310939441448,Z,2018,36504.0,22913.0,34725.0,0.98,0.6598416,0.6276847,,,,,,,,,0.585653,0.414347
